,Iter,best_vals,current_vals
0,0.0,-8.6,-2.2
1,1.0,-8.6,0.0
2,2.0,-8.6,-3.9
3,3.0,-9.0,-9.0
4,4.0,-9.0,-3.7
5,5.0,-9.0,0.0
6,6.0,-9.0,0.0
7,7.0,-9.0,-2.5
8,8.0,-9.0,-3.8
9,9.0,-9.0,-1.2
10,10.0,-9.0,0.0
11,11.0,-9.0,-0.2
12,12.0,-9.0,-3.3
13,13.0,-9.3,-9.3
14,14.0,-9.3,-0.6
15,15.0,-9.3,-0.4
16,16.0,-9.3,-2.1
17,17.0,-9.3,-6.7
18,18.0,-9.3,-5.4
19,19.0,-9.3,-3.7
20,20.0,-9.3,-2.0
21,21.0,-9.3,0.0
22,22.0,-9.3,-2.0
23,23.0,-9.3,-0.9
24,24.0,-9.3,-0.4
25,25.0,-10.0,-10.0
26,26.0,-10.0,-6.6
27,27.0,-10.0,-2.2
28,28.0,-10.0,-3.9
29,29.0,-10.0,-1.6
30,30.0,-10.0,-3.0
31,31.0,-10.0,-1.2
32,32.0,-10.0,-8.4
33,33.0,-10.0,-6.4
34,34.0,-10.0,-5.0
35,35.0,-10.0,-6.6
36,36.0,-10.0,-4.8
37,37.0,-10.0,-0.1
38,38.0,-10.0,-4.6
39,39.0,-10.0,-4.0
40,40.0,-11.0,-11.0
41,41.0,-11.0,-4.8
42,42.0,-11.0,-6.6
43,43.0,-11.0,-0.1
44,44.0,-12.2,-12.2
45,45.0,-12.2,-4.0
46,46.0,-12.2,-7.1
47,47.0,-12.2,-11.8
48,48.0,-12.2,-5.2
49,49.0,-12.2,-3.9
50,50.0,-12.2,-5.7
51,51.0,-12.2,-1.3
52,52.0,-12.2,-4.2
53,53.0,-12.2,-3.4
54,54.0,-12.2,-7.4
55,55.0,-12.2,-6.2
56,56.0,-12.2,-0.1
57,57.0,-12.2,-8.6
58,58.0,-12.2,-5.9
59,59.0,-12.2,-4.1
60,60.0,-12.2,-1.7
61,61.0,-12.2,-11.6
62,62.0,-12.2,-5.9
63,63.0,-12.2,-6.6
64,64.0,-12.2,-9.3
65,65.0,-12.2,-5.7
66,66.0,-12.2,-4.2
67,67.0,-12.2,-5.5
68,68.0,-12.2,-5.3
69,69.0,-12.2,-10.4
