,Iter,best_vals,current_vals
0,0.0,-8.6,-1.9
1,1.0,-8.6,-6.2
2,2.0,-8.6,-4.5
3,3.0,-8.6,-1.8
4,4.0,-8.6,-3.0
5,5.0,-8.6,-5.5
6,6.0,-8.6,-3.4
7,7.0,-8.6,-0.7
8,8.0,-8.6,0.0
9,9.0,-8.6,-4.4
10,10.0,-10.3,-10.3
11,11.0,-10.3,-5.8
12,12.0,-10.3,-0.1
13,13.0,-10.3,-1.4
14,14.0,-10.3,-1.3
15,15.0,-10.3,-1.9
16,16.0,-10.3,-1.0
17,17.0,-10.3,-1.7
18,18.0,-10.3,-6.9
19,19.0,-10.3,-8.7
20,20.0,-10.3,-3.7
21,21.0,-10.3,-1.4
22,22.0,-10.3,-2.9
23,23.0,-10.3,-5.1
24,24.0,-10.3,-3.7
25,25.0,-10.3,-0.5
26,26.0,-10.3,-0.2
27,27.0,-10.3,-1.3
28,28.0,-10.3,-1.8
29,29.0,-10.3,-8.0
30,30.0,-10.3,-3.2
31,31.0,-10.3,-3.5
32,32.0,-10.3,-1.9
33,33.0,-10.3,-1.6
34,34.0,-10.3,-0.2
35,35.0,-10.3,0.0
36,36.0,-10.3,-2.7
37,37.0,-10.3,-5.5
38,38.0,-10.3,-5.3
39,39.0,-10.3,-6.7
40,40.0,-10.3,-3.7
41,41.0,-10.3,-8.4
42,42.0,-10.3,-3.2
43,43.0,-10.3,-7.9
44,44.0,-16.4,-16.4
45,45.0,-16.4,-4.5
46,46.0,-17.4,-17.4
47,47.0,-17.4,-4.9
48,48.0,-17.4,-10.6
49,49.0,-17.4,-7.1
50,50.0,-17.4,-2.2
51,51.0,-17.4,-2.4
52,52.0,-17.4,-4.8
53,53.0,-17.4,-7.4
54,54.0,-17.4,-2.8
55,55.0,-17.4,-17.3
56,56.0,-17.4,-7.2
57,57.0,-17.4,-15.0
58,58.0,-17.4,-7.9
59,59.0,-17.4,0.0
60,60.0,-17.4,-1.7
61,61.0,-17.4,-3.2
62,62.0,-17.4,-13.2
63,63.0,-17.4,-1.8
64,64.0,-17.4,-0.2
65,65.0,-17.4,-4.6
66,66.0,-17.4,-5.0
67,67.0,-17.4,-5.9
68,68.0,-18.0,-18.0
69,69.0,-18.0,-8.0
70,70.0,-18.0,-5.1
71,71.0,-18.0,-6.6
72,72.0,-18.0,-5.9
73,73.0,-18.0,-14.7
74,74.0,-18.0,-5.3
75,75.0,-19.2,-19.2
76,76.0,-19.2,-4.9
