Experiment,Algorithm,R2,RMSE,MAE,Quantile,E-quantile
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.0,0.0
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.034482758620689655,0.0
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.06896551724137931,0.1
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.10344827586206896,0.1
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.13793103448275862,0.2
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.1724137931034483,0.2
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.20689655172413793,0.2
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.24137931034482757,0.3
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.27586206896551724,0.5
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.3103448275862069,0.5
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.3448275862068966,0.5
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.3793103448275862,0.5
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.41379310344827586,0.5
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.4482758620689655,0.6
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.48275862068965514,0.6
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.5172413793103449,0.7
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.5517241379310345,0.7
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.5862068965517241,0.8
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.6206896551724138,0.9
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.6551724137931034,0.9
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.6896551724137931,0.9
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.7241379310344828,0.9
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.7586206896551724,0.9
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.7931034482758621,1.0
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.8275862068965517,1.0
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.8620689655172413,1.0
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.896551724137931,1.0
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.9310344827586207,1.0
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,0.9655172413793103,1.0
0.0,GPr,0.6438470376323475,0.40067091315232,0.3290144746680407,1.0,1.0
0.0,BOCS,0.450664557268883,0.4976091361607217,0.3949730031540718,0.0,0.0
0.0,BOCS,0.450664557268883,0.4976091361607217,0.3949730031540718,0.034482758620689655,0.0
0.0,BOCS,0.450664557268883,0.4976091361607217,0.3949730031540718,0.06896551724137931,0.0
0.0,BOCS,0.450664557268883,0.4976091361607217,0.3949730031540718,0.10344827586206896,0.0
0.0,BOCS,0.450664557268883,0.4976091361607217,0.3949730031540718,0.13793103448275862,0.0
