iter,best_vals,current_vals
0,22.2918,22.691200000000002
1,22.2918,22.3215
2,22.2918,22.4015
3,22.2918,22.4213
4,22.2117,22.2117
5,22.2117,23.6812
6,22.2117,22.5416
7,22.1016,22.1016
8,22.1016,22.111599999999996
9,21.9817,21.9817
10,21.9817,23.191399999999998
11,21.9817,21.9817
12,21.9817,23.1013
13,21.9817,23.7612
14,21.9817,21.9817
15,21.9817,21.9817
16,21.9817,22.211799999999997
17,21.9817,21.9817
18,21.9817,21.9817
19,21.9817,21.9817
20,21.9817,21.9817
21,21.9817,22.2816
22,21.9817,22.2316
23,21.891599999999997,21.891599999999997
24,21.891599999999997,21.891599999999997
25,21.8817,21.8817
26,21.8817,21.8817
27,21.8817,23.3615
28,21.8817,21.8817
29,21.8817,21.891599999999997
30,21.8817,21.891599999999997
31,21.8817,21.8817
32,21.8817,21.891599999999997
33,21.8817,23.1614
34,21.8817,23.361
35,21.8817,21.891599999999997
36,21.8817,21.8817
37,21.8817,21.8817
38,21.8817,21.8817
39,21.8817,21.8817
40,21.8817,21.8817
41,21.8817,21.8817
42,21.8817,21.891599999999997
43,21.8817,21.8817
44,21.8817,22.4414
45,21.7416,21.7416
46,21.7416,21.7416
47,21.7416,21.7416
48,21.7416,21.7416
49,21.7416,21.7416
50,21.7416,21.7416
51,21.7416,21.7416
52,21.7416,21.7416
53,21.7416,21.7416
54,21.7416,21.7416
55,21.7416,21.7416
56,21.7416,21.7416
57,21.7416,21.7416
58,21.7416,21.7416
59,21.7416,21.751499999999997
60,21.7416,21.7416
61,21.7416,21.751499999999997
62,21.7416,21.7416
63,21.7416,21.7416
64,21.7416,23.1016
65,21.7416,22.431299999999997
66,21.7416,21.7416
67,21.7416,21.7416
68,21.7416,21.7416
69,21.7416,21.7416
70,21.7416,21.7416
71,21.7416,21.7416
72,21.7416,21.7416
73,21.7416,21.751499999999997
74,21.7416,21.7416
75,21.7416,21.7416
76,21.7416,21.751499999999997
77,21.7416,21.7416
78,21.7416,21.7416
79,21.7416,21.7416
80,21.7416,21.7416
81,21.7416,21.751499999999997
82,21.7416,21.7416
83,21.7416,21.751499999999997
84,21.7416,21.7416
85,21.7416,21.7416
86,21.7416,21.7416
87,21.7416,21.7416
88,21.7416,21.7416
89,21.7416,21.7416
90,21.7416,21.7416
91,21.7416,21.7416
92,21.7416,21.751499999999997
93,21.7416,21.7416
94,21.7416,23.971
95,21.7416,21.7416
96,21.7416,21.7416
97,21.7416,21.7416
98,21.7416,21.7416
99,21.7416,21.751499999999997
100,21.7416,21.7416
101,21.7416,21.7416
102,21.7416,21.751499999999997
103,21.7416,21.7416
104,21.7416,22.9711
105,21.7416,21.751499999999997
106,21.7416,21.7416
107,21.7416,21.7416
108,21.7416,21.7416
109,21.7416,21.7416
110,21.7416,21.7416
111,21.7416,21.7416
112,21.7416,21.7416
113,21.7416,22.101200000000002
114,21.7416,21.7416
115,21.7416,21.7416
116,21.7416,23.4715
117,21.7416,21.7416
118,21.7416,21.7416
119,21.7416,23.2112
120,21.7416,21.7416
121,21.7416,21.751499999999997
122,21.7416,21.7416
123,21.7416,21.7416
124,21.7416,21.7416
125,21.7416,21.7416
126,21.7416,21.7416
127,21.7416,23.2313
128,21.7416,21.7416
129,21.7416,21.751499999999997
130,21.7416,21.7416
131,21.7416,21.7416
132,21.7416,21.7416
133,21.7416,21.7416
134,21.7416,21.751499999999997
135,21.7416,21.751499999999997
136,21.7416,21.7416
137,21.7416,21.7416
138,21.7416,21.7416
139,21.7416,21.7416
140,21.7416,21.7416
141,21.7416,21.7416
142,21.7416,22.4213
143,21.7416,21.7416
144,21.7416,21.7416
145,21.7416,21.751499999999997
146,21.7416,21.7416
147,21.7416,21.7416
148,21.7416,21.751499999999997
149,21.7416,21.7416
150,21.7416,21.7416
151,21.7416,21.751499999999997
152,21.7416,21.7416
153,21.7416,21.7416
154,21.7416,21.7416
155,21.7416,21.7416
156,21.7416,21.7416
157,21.7416,21.751499999999997
158,21.7416,22.6815
159,21.7416,21.7416
160,21.451499999999996,21.451499999999996
161,21.451499999999996,21.451499999999996
162,21.451499999999996,21.451499999999996
163,21.451499999999996,23.301399999999997
164,21.451499999999996,21.451499999999996
